Ensembl ID	ENS_LRG_gene ID
ENSG00000067182	LRG_193
ENSG00000067182	LRG_193t1
ENSG00000067836	LRG_455
ENSG00000067836	LRG_455t1
ENSG00000068831	LRG_100
ENSG00000068831	LRG_100t1
ENSG00000069431	LRG_377
ENSG00000069431	LRG_377t1
ENSG00000069431	LRG_377t2
ENSG00000069974	LRG_96
ENSG00000070061	LRG_251
ENSG00000070061	LRG_251t1
ENSG00000072506	LRG_450
ENSG00000072506	LRG_450t1
ENSG00000072506	LRG_450t2
ENSG00000074582	LRG_539
ENSG00000074582	LRG_539t1
ENSG00000074582	LRG_539t2
ENSG00000075142	LRG_414
ENSG00000075142	LRG_414t1
ENSG00000075624	LRG_132
ENSG00000075624	LRG_132t1
ENSG00000075785	LRG_266
ENSG00000075785	LRG_266t1
ENSG00000076242	LRG_216
ENSG00000076242	LRG_216t1
ENSG00000076248	LRG_124
ENSG00000076351	LRG_183
ENSG00000076944	LRG_165
ENSG00000078114	LRG_411
ENSG00000078114	LRG_411t1
ENSG00000078114	LRG_411t2
ENSG00000078747	LRG_354
ENSG00000081052	LRG_231
ENSG00000081052	LRG_231t1
ENSG00000083093	LRG_308
ENSG00000083093	LRG_308t1
ENSG00000083799	LRG_491
ENSG00000083799	LRG_491t1
ENSG00000084073	LRG_212
ENSG00000084207	LRG_723
ENSG00000084207	LRG_723t1
ENSG00000085063	LRG_41
ENSG00000085063	LRG_41t1
ENSG00000087053	LRG_257
ENSG00000087053	LRG_257t1
ENSG00000088305	LRG_56
ENSG00000088305	LRG_56t1
ENSG00000090054	LRG_272
ENSG00000090861	LRG_359
ENSG00000090861	LRG_359t1
ENSG00000091138	LRG_683
ENSG00000091138	LRG_683t1
ENSG00000091483	LRG_504
ENSG00000091483	LRG_504t1
ENSG00000092054	LRG_384
ENSG00000092054	LRG_384t1
ENSG00000092067	LRG_45
ENSG00000092929	LRG_122
ENSG00000092929	LRG_122t1
ENSG00000095002	LRG_218
ENSG00000095002	LRG_218t1
ENSG00000095585	LRG_21
ENSG00000095585	LRG_21t1
ENSG00000095970	LRG_631
ENSG00000095970	LRG_631t1
ENSG00000096696	LRG_423
ENSG00000096696	LRG_423t1
ENSG00000096968	LRG_612
ENSG00000096968	LRG_612t1
ENSG00000096996	LRG_72
ENSG00000096996	LRG_72t1
ENSG00000099956	LRG_520
ENSG00000099956	LRG_520t1
ENSG00000100146	LRG_271
ENSG00000100146	LRG_271t1
ENSG00000100342	LRG_169
ENSG00000100342	LRG_169t1
ENSG00000100365	LRG_159
ENSG00000100365	LRG_159t1
ENSG00000100596	LRG_371
ENSG00000100596	LRG_371t1
ENSG00000100697	LRG_492
ENSG00000100697	LRG_492t1
ENSG00000100906	LRG_89
ENSG00000100906	LRG_89t1
ENSG00000101017	LRG_40
ENSG00000101017	LRG_40t1
ENSG00000101076	LRG_483
ENSG00000101076	LRG_483t1
ENSG00000101076	LRG_483t2
ENSG00000101076	LRG_483t3
ENSG00000101109	LRG_535
ENSG00000101109	LRG_535t1
ENSG00000101115	LRG_675
ENSG00000101115	LRG_675t1
ENSG00000101200	LRG_715
ENSG00000101200	LRG_715t1
ENSG00000101306	LRG_392
ENSG00000101306	LRG_392t1
ENSG00000101347	LRG_281
ENSG00000101347	LRG_281t1
ENSG00000101400	LRG_332
ENSG00000101400	LRG_332t1
ENSG00000101577	LRG_174
ENSG00000101577	LRG_174t1
ENSG00000101605	LRG_426
ENSG00000101605	LRG_426t1
ENSG00000101966	LRG_19
ENSG00000101966	LRG_19t1
ENSG00000101981	LRG_556
ENSG00000101981	LRG_556t1
ENSG00000102034	LRG_335
ENSG00000102034	LRG_335t1
ENSG00000102104	LRG_702
ENSG00000102104	LRG_702t1
ENSG00000102158	LRG_353
ENSG00000102158	LRG_353t1
ENSG00000102245	LRG_141
ENSG00000102245	LRG_141t1
ENSG00000102393	LRG_672
ENSG00000102393	LRG_672t1
ENSG00000102683	LRG_207
ENSG00000102683	LRG_207t1
ENSG00000102805	LRG_692
ENSG00000102805	LRG_692t1
ENSG00000102879	LRG_195
ENSG00000103005	LRG_352
ENSG00000103005	LRG_352t1
ENSG00000103197	LRG_487
ENSG00000103197	LRG_487t1
ENSG00000103313	LRG_190
ENSG00000103313	LRG_190t1
ENSG00000104320	LRG_158
ENSG00000104320	LRG_158t1
ENSG00000104419	LRG_258
ENSG00000104419	LRG_258t1
ENSG00000104728	LRG_234
ENSG00000104728	LRG_234t1
ENSG00000104884	LRG_461
ENSG00000104884	LRG_461t1
ENSG00000104889	LRG_278
ENSG00000104889	LRG_278t1
ENSG00000104973	LRG_368
ENSG00000104973	LRG_368t1
ENSG00000105227	LRG_265
ENSG00000105227	LRG_265t1
ENSG00000105227	LRG_265t2
ENSG00000105369	LRG_42
ENSG00000105369	LRG_42t1
ENSG00000105397	LRG_121
ENSG00000105397	LRG_121t1
ENSG00000105486	LRG_78
ENSG00000105486	LRG_78t1
ENSG00000105639	LRG_77
ENSG00000105639	LRG_77t1
ENSG00000105976	LRG_662
ENSG00000105976	LRG_662t1
ENSG00000106080	LRG_454
ENSG00000106080	LRG_454t1
ENSG00000106105	LRG_243
ENSG00000106105	LRG_243t1
ENSG00000106211	LRG_248
ENSG00000106211	LRG_248t1
ENSG00000106462	LRG_531
ENSG00000106462	LRG_531t1
ENSG00000106692	LRG_434
ENSG00000106692	LRG_434t1
ENSG00000106692	LRG_434t2
ENSG00000106804	LRG_28
ENSG00000106804	LRG_28t1
ENSG00000107099	LRG_196
ENSG00000107099	LRG_196t1
ENSG00000107290	LRG_268
ENSG00000107290	LRG_268t1
ENSG00000107611	LRG_540
ENSG00000107611	LRG_540t1
ENSG00000107779	LRG_298
ENSG00000107779	LRG_298t1
ENSG00000107882	LRG_521
ENSG00000107882	LRG_521t1
ENSG00000108384	LRG_314
ENSG00000108821	LRG_1
ENSG00000108821	LRG_1t1
ENSG00000108823	LRG_203
ENSG00000108823	LRG_203t1
ENSG00000108946	LRG_514
ENSG00000108946	LRG_514t1
ENSG00000108946	LRG_514t2
ENSG00000109099	LRG_263
ENSG00000109101	LRG_61
ENSG00000109101	LRG_61t1
ENSG00000109103	LRG_341
ENSG00000109103	LRG_341t1
ENSG00000109103	LRG_341t2
ENSG00000109132	LRG_513
ENSG00000109132	LRG_513t1
ENSG00000109861	LRG_50
ENSG00000109861	LRG_50t1
ENSG00000110057	LRG_123
ENSG00000110057	LRG_123t1
ENSG00000110324	LRG_151
ENSG00000110324	LRG_151t1
ENSG00000110395	LRG_608
ENSG00000110395	LRG_608t1
ENSG00000110651	LRG_142
ENSG00000110651	LRG_142t1
ENSG00000110680	LRG_13
ENSG00000110680	LRG_13t1
ENSG00000110680	LRG_13t2
ENSG00000110711	LRG_460
ENSG00000110711	LRG_460t1
ENSG00000110719	LRG_115
ENSG00000110921	LRG_156
ENSG00000110921	LRG_156t1
ENSG00000111199	LRG_372
ENSG00000111199	LRG_372t1
ENSG00000111245	LRG_393
ENSG00000111245	LRG_393t1
ENSG00000111732	LRG_17
ENSG00000111732	LRG_17t1
ENSG00000112039	LRG_498
ENSG00000112039	LRG_498t1
ENSG00000112116	LRG_356
ENSG00000112116	LRG_356t1
ENSG00000112365	LRG_326
ENSG00000112365	LRG_326t1
ENSG00000112367	LRG_241
ENSG00000112367	LRG_241t1
ENSG00000112769	LRG_433
ENSG00000112936	LRG_30
ENSG00000112936	LRG_30t1
ENSG00000113263	LRG_189
ENSG00000113263	LRG_189t1
ENSG00000113302	LRG_71
ENSG00000113302	LRG_71t1
ENSG00000113600	LRG_32
ENSG00000113600	LRG_32t1
ENSG00000114062	LRG_15
ENSG00000114062	LRG_15t1
ENSG00000114270	LRG_286
ENSG00000114270	LRG_286t1
ENSG00000114854	LRG_378
ENSG00000114854	LRG_378t1
ENSG00000115085	LRG_126
ENSG00000115085	LRG_126t1
ENSG00000115392	LRG_501
ENSG00000115392	LRG_501t1
ENSG00000115392	LRG_501t2
ENSG00000115415	LRG_111
ENSG00000115415	LRG_111t1
ENSG00000115648	LRG_83
ENSG00000115935	LRG_374
ENSG00000115935	LRG_374t1
ENSG00000116062	LRG_219
ENSG00000116062	LRG_219t1
ENSG00000116586	LRG_81
ENSG00000116586	LRG_81t1
ENSG00000116678	LRG_283
ENSG00000116678	LRG_283t1
ENSG00000116678	LRG_283t2
ENSG00000116678	LRG_283t3
ENSG00000116678	LRG_283t4
ENSG00000116688	LRG_255
ENSG00000116688	LRG_255t1
ENSG00000116701	LRG_88
ENSG00000116701	LRG_88t1
ENSG00000116785	LRG_175
ENSG00000116785	LRG_175t1
ENSG00000117118	LRG_316
ENSG00000117118	LRG_316t1
ENSG00000117322	LRG_348
ENSG00000117322	LRG_348t1
ENSG00000117335	LRG_155
ENSG00000117335	LRG_155t1
ENSG00000117385	LRG_5
ENSG00000117385	LRG_5t1
ENSG00000117385	LRG_5t2
ENSG00000117385	LRG_5t3
ENSG00000117400	LRG_510
ENSG00000117400	LRG_510t1
ENSG00000117560	LRG_58
ENSG00000117560	LRG_58t1
ENSG00000118004	LRG_350
ENSG00000118004	LRG_350t1
ENSG00000118046	LRG_319
ENSG00000118046	LRG_319t1
ENSG00000118271	LRG_416
ENSG00000118271	LRG_416t1
ENSG00000118526	LRG_446
ENSG00000118526	LRG_446t1
ENSG00000118729	LRG_404
ENSG00000118729	LRG_404t1
ENSG00000119392	LRG_484
ENSG00000119392	LRG_484t1
ENSG00000119392	LRG_484t2
ENSG00000119401	LRG_211
ENSG00000119401	LRG_211t1
ENSG00000119535	LRG_144
ENSG00000119535	LRG_144t1
ENSG00000119684	LRG_217
ENSG00000119684	LRG_217t1
ENSG00000119699	LRG_399
ENSG00000119699	LRG_399t1
ENSG00000119888	LRG_215
ENSG00000119888	LRG_215t1
ENSG00000120457	LRG_333
ENSG00000120457	LRG_333t1
ENSG00000120729	LRG_201
ENSG00000120729	LRG_201t1
ENSG00000120802	LRG_443
ENSG00000120802	LRG_443t1
ENSG00000120802	LRG_443t2
ENSG00000120948	LRG_659
ENSG00000120948	LRG_659t1
ENSG00000121879	LRG_310
ENSG00000121879	LRG_310t1
ENSG00000121933	LRG_424
ENSG00000121933	LRG_424t1
ENSG00000121966	LRG_51
ENSG00000121966	LRG_51t1
ENSG00000122025	LRG_457
ENSG00000122025	LRG_457t1
ENSG00000122367	LRG_385
ENSG00000122367	LRG_385t1
ENSG00000122367	LRG_385t2
ENSG00000122512	LRG_161
ENSG00000122512	LRG_161t1
ENSG00000122877	LRG_239
ENSG00000122877	LRG_239t1
ENSG00000123096	LRG_209
ENSG00000123096	LRG_209t1
ENSG00000123096	LRG_209t2
ENSG00000123700	LRG_328
ENSG00000123700	LRG_328t1
ENSG00000125730	LRG_27
ENSG00000125730	LRG_27t1
ENSG00000125952	LRG_530
ENSG00000126524	LRG_104
ENSG00000126524	LRG_104t1
ENSG00000126583	LRG_669
ENSG00000126583	LRG_669t1
ENSG00000126759	LRG_129
ENSG00000126759	LRG_129t1
ENSG00000127241	LRG_349
ENSG00000127241	LRG_349t1
ENSG00000127241	LRG_349t2
ENSG00000127241	LRG_349t3
ENSG00000127666	LRG_358
ENSG00000127666	LRG_358t1
ENSG00000127914	LRG_331
ENSG00000127914	LRG_331t1
ENSG00000128322	LRG_69
ENSG00000128340	LRG_97
ENSG00000128710	LRG_246
ENSG00000128710	LRG_246t1
ENSG00000129170	LRG_440
ENSG00000129245	LRG_285
ENSG00000129245	LRG_285t1
ENSG00000129667	LRG_532
ENSG00000129667	LRG_532t1
ENSG00000129757	LRG_533
ENSG00000129757	LRG_533t1
ENSG00000129991	LRG_432
ENSG00000129991	LRG_432t1
ENSG00000130164	LRG_274
ENSG00000130164	LRG_274t1
ENSG00000130816	LRG_362
ENSG00000130816	LRG_362t1
ENSG00000130826	LRG_55
ENSG00000130826	LRG_55t1
ENSG00000131187	LRG_145
ENSG00000131187	LRG_145t1
ENSG00000131238	LRG_690
ENSG00000131238	LRG_690t1
ENSG00000131323	LRG_229
ENSG00000131323	LRG_229t1
ENSG00000131482	LRG_147
ENSG00000132155	LRG_413
ENSG00000132155	LRG_413t1
ENSG00000132740	LRG_250
ENSG00000132740	LRG_250t1
ENSG00000132781	LRG_220
ENSG00000132781	LRG_220t1
ENSG00000132842	LRG_170
ENSG00000132842	LRG_170t1
ENSG00000133111	LRG_103
ENSG00000133111	LRG_103t1
ENSG00000133710	LRG_110
ENSG00000133710	LRG_110t1
ENSG00000133812	LRG_267
ENSG00000133812	LRG_267t1
ENSG00000133895	LRG_509
ENSG00000133895	LRG_509t1
ENSG00000133895	LRG_509t2
ENSG00000134086	LRG_322
ENSG00000134086	LRG_322t1
ENSG00000134240	LRG_447
ENSG00000134240	LRG_447t1
ENSG00000134240	LRG_447t2
ENSG00000134259	LRG_260
ENSG00000134259	LRG_260t1
ENSG00000134371	LRG_507
ENSG00000134371	LRG_507t1
ENSG00000134389	LRG_227
ENSG00000134460	LRG_73
ENSG00000134460	LRG_73t1
ENSG00000134571	LRG_386
ENSG00000134571	LRG_386t1
ENSG00000134574	LRG_467
ENSG00000134574	LRG_467t1
ENSG00000134684	LRG_273
ENSG00000134684	LRG_273t1
ENSG00000134853	LRG_309
ENSG00000134853	LRG_309t1
ENSG00000134899	LRG_464
ENSG00000134899	LRG_464t1
ENSG00000134982	LRG_130
ENSG00000135100	LRG_522
ENSG00000135100	LRG_522t1
ENSG00000135446	LRG_490
ENSG00000135604	LRG_113
ENSG00000135604	LRG_113t1
ENSG00000135899	LRG_109
ENSG00000135899	LRG_109t1
ENSG00000135956	LRG_528
ENSG00000135956	LRG_528t1
ENSG00000136104	LRG_279
ENSG00000136104	LRG_279t1
ENSG00000136104	LRG_279t2
ENSG00000136280	LRG_664
ENSG00000136280	LRG_664t1
ENSG00000136280	LRG_664t2
ENSG00000136492	LRG_300
ENSG00000136492	LRG_300t1
ENSG00000136689	LRG_188
ENSG00000136689	LRG_188t1
ENSG00000136802	LRG_80
ENSG00000136802	LRG_80t1
ENSG00000136936	LRG_471
ENSG00000136936	LRG_471t1
ENSG00000137700	LRG_187
ENSG00000137700	LRG_187t1
ENSG00000138347	LRG_410
ENSG00000138347	LRG_410t1
ENSG00000138375	LRG_108
ENSG00000138375	LRG_108t1
ENSG00000138379	LRG_200
ENSG00000138379	LRG_200t1
ENSG00000138413	LRG_610
ENSG00000138413	LRG_610t2
ENSG00000138413	LRG_610t3
ENSG00000139083	LRG_609
ENSG00000139083	LRG_609t1
ENSG00000139193	LRG_357
ENSG00000139193	LRG_357t1
ENSG00000139330	LRG_538
ENSG00000139330	LRG_538t1
ENSG00000139618	LRG_293
ENSG00000139618	LRG_293t1
ENSG00000139687	LRG_517
ENSG00000139687	LRG_517t1
ENSG00000140092	LRG_364
ENSG00000140092	LRG_364t1
ENSG00000140199	LRG_270
ENSG00000140199	LRG_270t1
ENSG00000140199	LRG_270t2
ENSG00000140368	LRG_172
ENSG00000140368	LRG_172t1
ENSG00000140525	LRG_500
ENSG00000140525	LRG_500t1
ENSG00000140905	LRG_541
ENSG00000140905	LRG_541t1
ENSG00000140968	LRG_294
ENSG00000140968	LRG_294t1
ENSG00000141349	LRG_182
ENSG00000141349	LRG_182t1
ENSG00000141385	LRG_666
ENSG00000141385	LRG_666t1
ENSG00000141499	LRG_375
ENSG00000141499	LRG_375t1
ENSG00000141510	LRG_321
ENSG00000141510	LRG_321t1
ENSG00000141510	LRG_321t2
ENSG00000141510	LRG_321t3
ENSG00000141510	LRG_321t4
ENSG00000141510	LRG_321t8
ENSG00000141524	LRG_118
ENSG00000141524	LRG_118t1
ENSG00000141646	LRG_318
ENSG00000141646	LRG_318t1
ENSG00000141655	LRG_194
ENSG00000141756	LRG_12
ENSG00000141756	LRG_12t1
ENSG00000141837	LRG_7
ENSG00000141837	LRG_7t1
ENSG00000142156	LRG_475
ENSG00000142156	LRG_475t1
ENSG00000142168	LRG_652
ENSG00000142168	LRG_652t1
ENSG00000142173	LRG_476
ENSG00000142173	LRG_476t1
ENSG00000142748	LRG_171
ENSG00000142748	LRG_171t1
ENSG00000143252	LRG_317
ENSG00000143252	LRG_317t1
ENSG00000143390	LRG_101
ENSG00000143390	LRG_101t1
ENSG00000143575	LRG_64
ENSG00000143575	LRG_64t1
ENSG00000144285	LRG_8
ENSG00000144285	LRG_8t1
ENSG00000144535	LRG_534
ENSG00000144535	LRG_534t1
ENSG00000144554	LRG_306
ENSG00000144554	LRG_306t1
ENSG00000144554	LRG_306t2
ENSG00000145020	LRG_537
ENSG00000145020	LRG_537t1
ENSG00000145362	LRG_327
ENSG00000145362	LRG_327t1
ENSG00000145362	LRG_327t2
ENSG00000145912	LRG_346
ENSG00000145912	LRG_346t1
ENSG00000146648	LRG_304
ENSG00000146648	LRG_304t1
ENSG00000147168	LRG_150
ENSG00000147168	LRG_150t1
ENSG00000147224	LRG_264
ENSG00000147224	LRG_264t1
ENSG00000147257	LRG_505
ENSG00000147257	LRG_505t1
ENSG00000147889	LRG_11
ENSG00000147889	LRG_11t1
ENSG00000147889	LRG_11t2
ENSG00000148090	LRG_449
ENSG00000148090	LRG_449t1
ENSG00000148356	LRG_373
ENSG00000148356	LRG_373t1
ENSG00000148677	LRG_379
ENSG00000148677	LRG_379t1
ENSG00000149131	LRG_105
ENSG00000149131	LRG_105t1
ENSG00000149311	LRG_135
ENSG00000149311	LRG_135t1
ENSG00000149596	LRG_394
ENSG00000149596	LRG_394t1
ENSG00000149781	LRG_180
ENSG00000149781	LRG_180t1
ENSG00000150281	LRG_408
ENSG00000150281	LRG_408t1
ENSG00000150337	LRG_59
ENSG00000150337	LRG_59t1
ENSG00000150753	LRG_361
ENSG00000150753	LRG_361t1
ENSG00000151067	LRG_334
ENSG00000151067	LRG_334t1
ENSG00000151067	LRG_334t2
ENSG00000151067	LRG_334t3
ENSG00000151067	LRG_334t4
ENSG00000151348	LRG_494
ENSG00000151348	LRG_494t1
ENSG00000151348	LRG_494t2
ENSG00000151498	LRG_448
ENSG00000151498	LRG_448t1
ENSG00000152137	LRG_249
ENSG00000152137	LRG_249t1
ENSG00000152457	LRG_54
ENSG00000152457	LRG_54t1
ENSG00000152642	LRG_419
ENSG00000152642	LRG_419t1
ENSG00000153563	LRG_44
ENSG00000153563	LRG_44t1
ENSG00000153956	LRG_437
ENSG00000153956	LRG_437t1
ENSG00000154153	LRG_363
ENSG00000154153	LRG_363t1
ENSG00000154767	LRG_472
ENSG00000154767	LRG_472t1
ENSG00000154803	LRG_325
ENSG00000154803	LRG_325t1
ENSG00000155657	LRG_391
ENSG00000155657	LRG_391t1
ENSG00000155657	LRG_391t2
ENSG00000155850	LRG_684
ENSG00000155850	LRG_684t1
ENSG00000156515	LRG_365
ENSG00000156515	LRG_365t1
ENSG00000156738	LRG_140
ENSG00000156738	LRG_140t1
ENSG00000156970	LRG_489
ENSG00000156970	LRG_489t1
ENSG00000157131	LRG_139
ENSG00000157131	LRG_139t1
ENSG00000157404	LRG_307
ENSG00000157404	LRG_307t1
ENSG00000157764	LRG_299
ENSG00000157764	LRG_299t1
ENSG00000157978	LRG_276
ENSG00000157978	LRG_276t1
ENSG00000158169	LRG_497
ENSG00000158169	LRG_497t1
ENSG00000158887	LRG_256
ENSG00000158887	LRG_256t1
ENSG00000159128	LRG_67
ENSG00000159128	LRG_67t1
ENSG00000159184	LRG_771
ENSG00000159184	LRG_771t1
ENSG00000159189	LRG_24
ENSG00000159189	LRG_24t1
ENSG00000159197	LRG_291
ENSG00000159197	LRG_291t1
ENSG00000159216	LRG_482
ENSG00000159216	LRG_482t1
ENSG00000159251	LRG_388
ENSG00000159251	LRG_388t1
ENSG00000159958	LRG_184
ENSG00000159958	LRG_184t1
ENSG00000160201	LRG_615
ENSG00000160201	LRG_615t1
ENSG00000160201	LRG_615t2
ENSG00000160211	LRG_148
ENSG00000160211	LRG_148t1
ENSG00000160213	LRG_485
ENSG00000160213	LRG_485t1
ENSG00000160224	LRG_18
ENSG00000160255	LRG_76
ENSG00000160255	LRG_76t1
ENSG00000160654	LRG_39
ENSG00000160654	LRG_39t1
ENSG00000160789	LRG_254
ENSG00000160789	LRG_254t1
ENSG00000160808	LRG_395
ENSG00000160808	LRG_395t1
ENSG00000161270	LRG_693
ENSG00000161270	LRG_693t1
ENSG00000162614	LRG_442
ENSG00000162614	LRG_442t1
ENSG00000162676	LRG_63
ENSG00000162676	LRG_63t1
ENSG00000162711	LRG_197
ENSG00000162711	LRG_197t1
ENSG00000163069	LRG_204
ENSG00000163069	LRG_204t1
ENSG00000163161	LRG_462
ENSG00000163161	LRG_462t1
ENSG00000163217	LRG_403
ENSG00000163217	LRG_403t1
ENSG00000163359	LRG_473
ENSG00000163359	LRG_473t1
ENSG00000163600	LRG_65
ENSG00000163600	LRG_65t1
ENSG00000163646	LRG_700
ENSG00000163646	LRG_700t1
ENSG00000163646	LRG_700t2
ENSG00000163930	LRG_529
ENSG00000163961	LRG_185
ENSG00000163961	LRG_185t1
ENSG00000164342	LRG_117
ENSG00000164342	LRG_117t1
ENSG00000164362	LRG_343
ENSG00000164362	LRG_343t1
ENSG00000164692	LRG_2
ENSG00000164692	LRG_2t1
ENSG00000165168	LRG_53
ENSG00000165168	LRG_53t1
ENSG00000165195	LRG_160
ENSG00000165195	LRG_160t1
ENSG00000165280	LRG_657
ENSG00000165280	LRG_657t1
ENSG00000165392	LRG_524
ENSG00000165392	LRG_524t1
ENSG00000165409	LRG_523
ENSG00000165409	LRG_523t1
ENSG00000165410	LRG_213
ENSG00000165410	LRG_213t1
ENSG00000165471	LRG_154
ENSG00000165471	LRG_154t1
ENSG00000165671	LRG_512
ENSG00000165671	LRG_512t1
ENSG00000165699	LRG_486
ENSG00000165699	LRG_486t1
ENSG00000165731	LRG_518
ENSG00000165731	LRG_518t1
ENSG00000165731	LRG_518t2
ENSG00000166037	LRG_526
ENSG00000166126	LRG_642
ENSG00000166126	LRG_642t1
ENSG00000166257	LRG_421
ENSG00000166257	LRG_421t1
ENSG00000166278	LRG_26
ENSG00000166278	LRG_26t1
ENSG00000166333	LRG_444
ENSG00000166349	LRG_98
ENSG00000166349	LRG_98t1
ENSG00000166794	LRG_10
ENSG00000166794	LRG_10t1
ENSG00000167207	LRG_177
ENSG00000167207	LRG_177t1
ENSG00000167286	LRG_37
ENSG00000167286	LRG_37t1
ENSG00000167323	LRG_164
ENSG00000167323	LRG_164t1
ENSG00000167580	LRG_717
ENSG00000167580	LRG_717t1
ENSG00000167895	LRG_119
ENSG00000167895	LRG_119t1
ENSG00000167985	LRG_519
ENSG00000167985	LRG_519t1
ENSG00000167986	LRG_474
ENSG00000167986	LRG_474t1
ENSG00000168040	LRG_228
ENSG00000168040	LRG_228t1
ENSG00000168542	LRG_3
ENSG00000168542	LRG_3t1
ENSG00000168610	LRG_112
ENSG00000168610	LRG_112t1
ENSG00000168646	LRG_296
ENSG00000168646	LRG_296t1
ENSG00000168685	LRG_74
ENSG00000169031	LRG_230
ENSG00000169031	LRG_230t1
ENSG00000169174	LRG_275
ENSG00000169174	LRG_275t1
ENSG00000169247	LRG_269
ENSG00000169247	LRG_269t1
ENSG00000169249	LRG_618
ENSG00000169249	LRG_618t1
ENSG00000169432	LRG_369
ENSG00000169432	LRG_369t1
ENSG00000169562	LRG_245
ENSG00000169562	LRG_245t1
ENSG00000170100	LRG_284
ENSG00000170100	LRG_284t1
ENSG00000170122	LRG_452
ENSG00000170122	LRG_452t1
ENSG00000170275	LRG_4
ENSG00000170275	LRG_4t1
ENSG00000170624	LRG_205
ENSG00000170624	LRG_205t1
ENSG00000170734	LRG_470
ENSG00000170734	LRG_470t1
ENSG00000170836	LRG_770
ENSG00000170836	LRG_770t1
ENSG00000170876	LRG_435
ENSG00000170876	LRG_435t1
ENSG00000171051	LRG_146
ENSG00000171051	LRG_146t1
ENSG00000171094	LRG_488
ENSG00000171298	LRG_673
ENSG00000171298	LRG_673t1
ENSG00000171316	LRG_176
ENSG00000171385	LRG_445
ENSG00000171385	LRG_445t1
ENSG00000171560	LRG_557
ENSG00000171560	LRG_557t1
ENSG00000171560	LRG_557t2
ENSG00000171608	LRG_191
ENSG00000171608	LRG_191t1
ENSG00000171680	LRG_262
ENSG00000171862	LRG_311
ENSG00000171862	LRG_311t1
ENSG00000172062	LRG_676
ENSG00000172062	LRG_676t1
ENSG00000172243	LRG_179
ENSG00000172243	LRG_179t1
ENSG00000172399	LRG_396
ENSG00000172399	LRG_396t1
ENSG00000172893	LRG_340
ENSG00000172893	LRG_340t1
ENSG00000172922	LRG_280
ENSG00000172922	LRG_280t1
ENSG00000172936	LRG_157
ENSG00000172936	LRG_157t1
ENSG00000173369	LRG_23
ENSG00000173369	LRG_23t1
ENSG00000173372	LRG_22
ENSG00000173372	LRG_22t1
ENSG00000173757	LRG_192
ENSG00000173757	LRG_192t1
ENSG00000173991	LRG_210
ENSG00000173991	LRG_210t1
ENSG00000174405	LRG_79
ENSG00000174405	LRG_79t1
ENSG00000175084	LRG_380
ENSG00000175084	LRG_380t1
ENSG00000175097	LRG_99
ENSG00000175538	LRG_439
ENSG00000175538	LRG_439t1
ENSG00000175595	LRG_463
ENSG00000175595	LRG_463t1
ENSG00000177000	LRG_726
ENSG00000177000	LRG_726t1
ENSG00000177098	LRG_330
ENSG00000177098	LRG_330t1
ENSG00000177455	LRG_35
